session_id,tag_local_id,distance_cm,orientation_deg,repetitions
S20251104_S1_TAG01_d1_o0_run1,TAG01,1,0,150
S20251104_S1_TAG01_d3_o0_run1,TAG01,3,0,150
S20251104_S1_TAG01_d4_o0_run1,TAG01,4,0,150
S20251104_S1_TAG01_d1_o45_run1,TAG01,1,45,150
S20251104_S1_TAG01_d3_o45_run1,TAG01,3,45,150
S20251104_S1_TAG01_d4_o45_run1,TAG01,4,45,150
S20251104_S1_TAG01_d1_o90_run1,TAG01,1,90,150
S20251104_S1_TAG01_d3_o90_run1,TAG01,3,90,150
S20251104_S1_TAG01_d4_o90_run1,TAG01,4,90,150
S20251104_S1_TAG02_d1_o0_run1,TAG02,1,0,150
S20251104_S1_TAG02_d3_o0_run1,TAG02,3,0,150
S20251104_S1_TAG02_d4_o0_run1,TAG02,4,0,150
S20251104_S1_TAG02_d1_o45_run1,TAG02,1,45,150
S20251104_S1_TAG02_d3_o45_run1,TAG02,3,45,150
S20251104_S1_TAG02_d4_o45_run1,TAG02,4,45,150
S20251104_S1_TAG02_d1_o90_run1,TAG02,1,90,150
S20251104_S1_TAG02_d3_o90_run1,TAG02,3,90,150
S20251104_S1_TAG02_d4_o90_run1,TAG02,4,90,150
S20251104_S1_TAG03_d1_o0_run1,TAG03,1,0,150
S20251104_S1_TAG03_d3_o0_run1,TAG03,3,0,150
S20251104_S1_TAG03_d4_o0_run1,TAG03,4,0,150
S20251104_S1_TAG03_d1_o45_run1,TAG03,1,45,150
S20251104_S1_TAG03_d3_o45_run1,TAG03,3,45,150
S20251104_S1_TAG03_d4_o45_run1,TAG03,4,45,150
S20251104_S1_TAG03_d1_o90_run1,TAG03,1,90,150
S20251104_S1_TAG03_d3_o90_run1,TAG03,3,90,150
S20251104_S1_TAG03_d4_o90_run1,TAG03,4,90,150
S20251104_S1_TAG04_d1_o0_run1,TAG04,1,0,150
S20251104_S1_TAG04_d3_o0_run1,TAG04,3,0,150
S20251104_S1_TAG04_d4_o0_run1,TAG04,4,0,150
S20251104_S1_TAG04_d1_o45_run1,TAG04,1,45,150
S20251104_S1_TAG04_d3_o45_run1,TAG04,3,45,150
S20251104_S1_TAG04_d4_o45_run1,TAG04,4,45,150
S20251104_S1_TAG04_d1_o90_run1,TAG04,1,90,150
S20251104_S1_TAG04_d3_o90_run1,TAG04,3,90,150
S20251104_S1_TAG04_d4_o90_run1,TAG04,4,90,150
S20251104_S1_TAG05_d1_o0_run1,TAG05,1,0,150
S20251104_S1_TAG05_d3_o0_run1,TAG05,3,0,150
S20251104_S1_TAG05_d4_o0_run1,TAG05,4,0,150
S20251104_S1_TAG05_d1_o45_run1,TAG05,1,45,150
S20251104_S1_TAG05_d3_o45_run1,TAG05,3,45,150
S20251104_S1_TAG05_d4_o45_run1,TAG05,4,45,150
S20251104_S1_TAG05_d1_o90_run1,TAG05,1,90,150
