session_id,tag_local_id,mode,device_A_port,device_B_port,distance_cm,orientation_deg,burst_size,burst_rate_hz,bursts,repeats,notes
S5_TAG01_run1,TAG01,FLOOD,COM9,COM4,1,0,1000,500,3,1,burst short high-rate, 1s on / 1s off
S5_TAG01_run2,TAG01,FLOOD,COM9,COM4,1,45,2000,800,3,1,closer angle, high-rate
S5_TAG01_run3,TAG01,FLOOD,COM9,COM4,1,90,3000,1000,2,1,very high-rate
S5_TAG02_run1,TAG02,FLOOD,COM9,COM4,2,0,1000,400,4,1,medium distance
S5_TAG02_run2,TAG02,FLOOD,COM9,COM4,2,45,2000,700,3,1,medium
S5_TAG02_run3,TAG02,FLOOD,COM9,COM4,2,90,5000,1000,1,1,stress test
S5_TAG03_run1,TAG03,FLOOD,COM9,COM4,3,0,1000,300,5,1,long bursts low-rate
S5_TAG03_run2,TAG03,FLOOD,COM9,COM4,3,45,2000,600,3,1,mid
S5_TAG03_run3,TAG03,FLOOD,COM9,COM4,3,90,4000,900,2,1,high stress
S5_TAG04_run1,TAG04,FLOOD,COM9,COM4,1,0,1000,500,3,2,repeat twice
S5_TAG04_run2,TAG04,FLOOD,COM9,COM4,1,45,1500,700,3,2,repeat twice
S5_TAG04_run3,TAG04,FLOOD,COM9,COM4,1,90,3000,1000,2,2,repeat twice
S5_TAG05_run1,TAG05,FLOOD,COM9,COM4,2,0,1000,500,4,1,standard
S5_TAG05_run2,TAG05,FLOOD,COM9,COM4,2,45,2000,800,3,1,standard
S5_TAG05_run3,TAG05,FLOOD,COM9,COM4,2,90,5000,1200,1,1,extreme
S5_TAG06_run1,TAG06,FLOOD,COM9,COM4,3,0,1200,400,4,1,slower
S5_TAG06_run2,TAG06,FLOOD,COM9,COM4,3,45,2500,700,3,1,fast bursts
S5_TAG06_run3,TAG06,FLOOD,COM9,COM4,3,90,4000,1000,2,1,very fast
S5_TAG07_run1,TAG07,FLOOD,COM9,COM4,1,0,1000,600,3,1,balanced
S5_TAG07_run2,TAG07,FLOOD,COM9,COM4,1,45,2000,900,2,1,fast
S5_TAG07_run3,TAG07,FLOOD,COM9,COM4,1,90,3500,1100,1,1,peak
S5_TAG08_run1,TAG08,FLOOD,COM9,COM4,2,0,1000,350,5,1,long low-rate
S5_TAG08_run2,TAG08,FLOOD,COM9,COM4,2,45,1800,650,3,1,medium
S5_TAG08_run3,TAG08,FLOOD,COM9,COM4,2,90,3000,950,2,1,high
S5_TAG09_run1,TAG09,FLOOD,COM9,COM4,3,0,1000,500,4,1,standard
S5_TAG09_run2,TAG09,FLOOD,COM9,COM4,3,45,2200,800,3,1,fast
S5_TAG09_run3,TAG09,FLOOD,COM9,COM4,3,90,4500,1000,2,1,very fast
S5_TAG10_run1,TAG10,FLOOD,COM9,COM4,1,0,1000,500,3,1,control
S5_TAG10_run2,TAG10,FLOOD,COM9,COM4,1,45,2000,800,3,1,control
S5_TAG10_run3,TAG10,FLOOD,COM9,COM4,1,90,4000,1100,2,1,control
S5_TAG11_run1,TAG11,FLOOD,COM9,COM4,2,0,1000,450,4,1,control2
S5_TAG11_run2,TAG11,FLOOD,COM9,COM4,2,45,2000,750,3,1,control2
S5_TAG11_run3,TAG11,FLOOD,COM9,COM4,2,90,3500,1000,2,1,control2
S5_TAG12_run1,TAG12,FLOOD,COM9,COM4,3,0,1000,400,5,1,slow long bursts
S5_TAG12_run2,TAG12,FLOOD,COM9,COM4,3,45,1800,650,3,1,mid bursts
S5_TAG12_run3,TAG12,FLOOD,COM9,COM4,3,90,3000,900,2,1,high bursts
