session_id,total_reads,success_reads,success_rate,tag_local_id,distance_cm,orientation_deg,repetitions
S20251104_S1_TAG01_d1_o0_run1,154,151,98.05,TAG01,1,0,150
S20251104_S1_TAG01_d1_o45_run1,150,138,92.0,TAG01,1,45,150
S20251104_S1_TAG01_d1_o90_run1,150,150,100.0,TAG01,1,90,150
S20251104_S1_TAG01_d3_o0_run1,150,150,100.0,TAG01,3,0,150
S20251104_S1_TAG01_d3_o45_run1,150,139,92.67,TAG01,3,45,150
S20251104_S1_TAG01_d3_o90_run1,150,150,100.0,TAG01,3,90,150
S20251104_S1_TAG01_d4_o0_run1,150,147,98.0,TAG01,4,0,150
S20251104_S1_TAG01_d4_o45_run1,150,139,92.67,TAG01,4,45,150
S20251104_S1_TAG01_d4_o90_run1,150,150,100.0,TAG01,4,90,150
S20251104_S1_TAG02_d1_o0_run1,150,149,99.33,TAG02,1,0,150
S20251104_S1_TAG02_d1_o45_run1,150,150,100.0,TAG02,1,45,150
S20251104_S1_TAG02_d1_o90_run1,150,150,100.0,TAG02,1,90,150
S20251104_S1_TAG02_d3_o0_run1,150,150,100.0,TAG02,3,0,150
S20251104_S1_TAG02_d3_o45_run1,150,150,100.0,TAG02,3,45,150
S20251104_S1_TAG02_d3_o90_run1,150,150,100.0,TAG02,3,90,150
S20251104_S1_TAG02_d4_o0_run1,150,149,99.33,TAG02,4,0,150
S20251104_S1_TAG02_d4_o45_run1,150,150,100.0,TAG02,4,45,150
S20251104_S1_TAG02_d4_o90_run1,150,150,100.0,TAG02,4,90,150
S20251104_S1_TAG03_d1_o0_run1,150,142,94.67,TAG03,1,0,150
S20251104_S1_TAG03_d1_o45_run1,150,150,100.0,TAG03,1,45,150
S20251104_S1_TAG03_d1_o90_run1,150,150,100.0,TAG03,1,90,150
S20251104_S1_TAG03_d3_o0_run1,150,150,100.0,TAG03,3,0,150
S20251104_S1_TAG03_d3_o45_run1,150,150,100.0,TAG03,3,45,150
S20251104_S1_TAG03_d3_o90_run1,150,150,100.0,TAG03,3,90,150
S20251104_S1_TAG03_d4_o0_run1,150,138,92.0,TAG03,4,0,150
S20251104_S1_TAG03_d4_o45_run1,150,150,100.0,TAG03,4,45,150
S20251104_S1_TAG03_d4_o90_run1,150,150,100.0,TAG03,4,90,150
S20251104_S1_TAG04_d1_o0_run1,150,149,99.33,TAG04,1,0,150
S20251104_S1_TAG04_d1_o45_run1,150,150,100.0,TAG04,1,45,150
