session_id,uid,tA,tB,dt
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:18.723201Z,2025-11-10T13:07:18.709772Z,0.013429
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:18.723201Z,2025-11-10T13:07:18.948621Z,-0.22542
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:18.961499Z,2025-11-10T13:07:18.948621Z,0.012878
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:18.961499Z,2025-11-10T13:07:19.195498Z,-0.233999
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:19.219279Z,2025-11-10T13:07:19.195498Z,0.023781
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:19.219279Z,2025-11-10T13:07:19.676087Z,-0.456808
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:19.532499Z,2025-11-10T13:07:19.676087Z,-0.143588
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:19.720118Z,2025-11-10T13:07:19.676087Z,0.044031
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:19.720118Z,2025-11-10T13:07:19.702386Z,0.017732
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:19.720118Z,2025-11-10T13:07:19.956462Z,-0.236344
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:19.963323Z,2025-11-10T13:07:19.956462Z,0.006861
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:19.963323Z,2025-11-10T13:07:20.453154Z,-0.489831
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:20.235665Z,2025-11-10T13:07:20.453154Z,-0.217489
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:20.468107Z,2025-11-10T13:07:20.453154Z,0.014953
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:20.468107Z,2025-11-10T13:07:20.458873Z,0.009234
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:20.468107Z,2025-11-10T13:07:20.944296Z,-0.476189
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:20.713055Z,2025-11-10T13:07:20.944296Z,-0.231241
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:20.973035Z,2025-11-10T13:07:20.944296Z,0.028739
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:20.973035Z,2025-11-10T13:07:21.224906Z,-0.251871
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:21.217988Z,2025-11-10T13:07:21.224906Z,-0.006918
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:21.445871Z,2025-11-10T13:07:21.224906Z,0.220965
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:21.445871Z,2025-11-10T13:07:21.460462Z,-0.014591
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:21.729555Z,2025-11-10T13:07:21.460462Z,0.269093
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:21.729555Z,2025-11-10T13:07:21.724536Z,0.005019
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:21.729555Z,2025-11-10T13:07:21.947706Z,-0.218151
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:21.950208Z,2025-11-10T13:07:21.947706Z,0.002502
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:21.950208Z,2025-11-10T13:07:22.437349Z,-0.487141
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:22.253904Z,2025-11-10T13:07:22.437349Z,-0.183445
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:22.570595Z,2025-11-10T13:07:22.437349Z,0.133246
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:22.570595Z,2025-11-10T13:07:22.621429Z,-0.050834
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:22.726514Z,2025-11-10T13:07:22.621429Z,0.105085
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:22.726514Z,2025-11-10T13:07:22.682751Z,0.043763
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:22.726514Z,2025-11-10T13:07:22.944181Z,-0.217667
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:23.142155Z,2025-11-10T13:07:22.944181Z,0.197974
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:23.142155Z,2025-11-10T13:07:23.201735Z,-0.05958
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:23.459706Z,2025-11-10T13:07:23.201735Z,0.257971
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:23.459706Z,2025-11-10T13:07:23.639426Z,-0.17972
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:23.733268Z,2025-11-10T13:07:23.639426Z,0.093842
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:23.733268Z,2025-11-10T13:07:23.716495Z,0.016773
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:23.733268Z,2025-11-10T13:07:24.105174Z,-0.371906
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:24.230483Z,2025-11-10T13:07:24.105174Z,0.125309
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:24.230483Z,2025-11-10T13:07:24.202009Z,0.028474
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:24.230483Z,2025-11-10T13:07:24.633783Z,-0.4033
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:24.582001Z,2025-11-10T13:07:24.633783Z,-0.051782
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:24.818052Z,2025-11-10T13:07:24.633783Z,0.184269
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:24.818052Z,2025-11-10T13:07:24.869693Z,-0.051641
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:24.969635Z,2025-11-10T13:07:24.869693Z,0.099942
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:24.969635Z,2025-11-10T13:07:24.925793Z,0.043842
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:24.969635Z,2025-11-10T13:07:25.199006Z,-0.229371
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:25.212921Z,2025-11-10T13:07:25.199006Z,0.013915
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:25.212921Z,2025-11-10T13:07:25.486753Z,-0.273832
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:25.447664Z,2025-11-10T13:07:25.486753Z,-0.039089
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:25.763216Z,2025-11-10T13:07:25.486753Z,0.276463
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:25.763216Z,2025-11-10T13:07:25.839243Z,-0.076027
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:26.034794Z,2025-11-10T13:07:25.839243Z,0.195551
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:26.034794Z,2025-11-10T13:07:26.116358Z,-0.081564
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:26.201344Z,2025-11-10T13:07:26.116358Z,0.084986
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:26.201344Z,2025-11-10T13:07:26.208219Z,-0.006875
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:26.792443Z,2025-11-10T13:07:26.208219Z,0.584224
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:26.792443Z,2025-11-10T13:07:26.459835Z,0.332608
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:26.792443Z,2025-11-10T13:07:26.929596Z,-0.137153
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:26.937520Z,2025-11-10T13:07:26.929596Z,0.007924
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:26.937520Z,2025-11-10T13:07:26.950687Z,-0.013167
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:27.220321Z,2025-11-10T13:07:26.950687Z,0.269634
S20251109_S2_TAG01_d1_o0_run1,0996BA5E,2025-11-10T13:07:27.220321Z,2025-11-10T13:07:27.188376Z,0.031945
