session_id,tag_local_id,delta_ms
S4_TAG01_run1,TAG01,0.5559999999999999
S4_TAG01_run1,TAG01,4.867
S4_TAG01_run1,TAG01,6.2490000000000006
S4_TAG01_run1,TAG01,6.4159999999999995
S4_TAG01_run1,TAG01,5.119000000000001
S4_TAG01_run1,TAG01,1.358
S4_TAG01_run1,TAG01,0.9840000000000001
S4_TAG01_run1,TAG01,5.011
S4_TAG01_run1,TAG01,7.6579999999999995
S4_TAG01_run1,TAG01,2.522
S4_TAG01_run1,TAG01,4.108
S4_TAG01_run1,TAG01,7.5009999999999994
S4_TAG01_run1,TAG01,0.6449999999999999
S4_TAG01_run1,TAG01,1.578
S4_TAG01_run1,TAG01,0.906
S4_TAG01_run1,TAG01,4.68
S4_TAG01_run1,TAG01,6.282
S4_TAG01_run1,TAG01,2.79
S4_TAG01_run1,TAG01,6.549
S4_TAG01_run1,TAG01,7.66
S4_TAG01_run1,TAG01,0.808
S4_TAG01_run1,TAG01,3.063
S4_TAG01_run1,TAG01,6.372
S4_TAG01_run1,TAG01,7.112
S4_TAG01_run1,TAG01,6.611
S4_TAG01_run1,TAG01,1.8920000000000001
S4_TAG01_run1,TAG01,4.473000000000001
S4_TAG01_run1,TAG01,6.633
S4_TAG01_run1,TAG01,3.09
S4_TAG01_run1,TAG01,1.6789999999999998
S4_TAG01_run1,TAG01,1.661
S4_TAG01_run1,TAG01,6.452
S4_TAG01_run1,TAG01,3.464
S4_TAG01_run1,TAG01,0.785
S4_TAG01_run1,TAG01,7.496
S4_TAG01_run1,TAG01,7.588
S4_TAG01_run1,TAG01,1.047
S4_TAG01_run1,TAG01,3.4749999999999996
S4_TAG01_run1,TAG01,4.254
S4_TAG01_run1,TAG01,6.94
S4_TAG01_run1,TAG01,1.81
S4_TAG01_run1,TAG01,6.596
S4_TAG01_run1,TAG01,6.3
S4_TAG01_run1,TAG01,1.482
S4_TAG01_run1,TAG01,6.8180000000000005
S4_TAG01_run1,TAG01,0.513
S4_TAG01_run1,TAG01,6.184
S4_TAG01_run1,TAG01,3.746
S4_TAG01_run1,TAG01,6.671
S4_TAG01_run1,TAG01,7.7
S4_TAG01_run1,TAG01,3.665
S4_TAG01_run1,TAG01,6.791
S4_TAG01_run1,TAG01,3.577
S4_TAG01_run1,TAG01,1.353
S4_TAG01_run1,TAG01,5.872
S4_TAG01_run1,TAG01,7.0809999999999995
S4_TAG01_run1,TAG01,1.74
S4_TAG01_run1,TAG01,3.4619999999999997
S4_TAG01_run1,TAG01,4.0969999999999995
S4_TAG01_run1,TAG01,2.609
S4_TAG01_run1,TAG01,2.0460000000000003
S4_TAG01_run1,TAG01,3.9309999999999996
S4_TAG01_run1,TAG01,6.51
S4_TAG01_run1,TAG01,1.278
S4_TAG01_run1,TAG01,0.9890000000000001
S4_TAG01_run1,TAG01,4.91
S4_TAG01_run1,TAG01,7.967999999999999
S4_TAG01_run1,TAG01,2.979
S4_TAG01_run1,TAG01,1.9589999999999999
S4_TAG01_run1,TAG01,4.505
S4_TAG01_run1,TAG01,3.007
S4_TAG01_run1,TAG01,6.198
S4_TAG01_run1,TAG01,6.681
S4_TAG01_run1,TAG01,0.713
S4_TAG01_run1,TAG01,7.804
S4_TAG01_run1,TAG01,4.367
S4_TAG01_run1,TAG01,1.017
S4_TAG01_run1,TAG01,5.736
S4_TAG01_run1,TAG01,4.283
S4_TAG01_run1,TAG01,5.621
S4_TAG01_run1,TAG01,1.719
S4_TAG01_run1,TAG01,7.626
S4_TAG01_run1,TAG01,5.149
S4_TAG01_run1,TAG01,2.3249999999999997
S4_TAG01_run1,TAG01,4.288
S4_TAG01_run1,TAG01,2.949
S4_TAG01_run1,TAG01,4.513
S4_TAG01_run1,TAG01,3.2880000000000003
S4_TAG01_run1,TAG01,5.569
S4_TAG01_run1,TAG01,1.032
S4_TAG01_run1,TAG01,3.0959999999999996
S4_TAG01_run1,TAG01,3.348
S4_TAG01_run1,TAG01,3.8609999999999998
S4_TAG01_run1,TAG01,7.47
S4_TAG01_run1,TAG01,5.381
S4_TAG01_run1,TAG01,6.982
S4_TAG01_run1,TAG01,1.805
S4_TAG01_run1,TAG01,1.9729999999999999
S4_TAG01_run1,TAG01,5.98
S4_TAG01_run1,TAG01,7.326
S4_TAG01_run1,TAG01,7.355
S4_TAG01_run1,TAG01,3.2880000000000003
S4_TAG01_run1,TAG01,2.2560000000000002
S4_TAG01_run1,TAG01,1.4040000000000001
S4_TAG01_run1,TAG01,8.831999999999999
S4_TAG01_run1,TAG01,4.505
S4_TAG01_run1,TAG01,2.917
S4_TAG01_run1,TAG01,5.841
S4_TAG01_run1,TAG01,7.332
S4_TAG01_run1,TAG01,4.577
S4_TAG01_run1,TAG01,2.5509999999999997
S4_TAG01_run1,TAG01,7.595
S4_TAG01_run1,TAG01,4.476
S4_TAG01_run1,TAG01,6.711
S4_TAG01_run1,TAG01,6.526
S4_TAG01_run1,TAG01,5.563000000000001
S4_TAG01_run1,TAG01,1.453
S4_TAG01_run1,TAG01,4.598
S4_TAG01_run1,TAG01,2.2920000000000003
S4_TAG01_run1,TAG01,7.675000000000001
S4_TAG01_run1,TAG01,4.61
S4_TAG01_run1,TAG01,7.484
S4_TAG01_run1,TAG01,3.812
S4_TAG01_run1,TAG01,7.922000000000001
S4_TAG01_run1,TAG01,5.058
S4_TAG01_run1,TAG01,5.712
S4_TAG01_run1,TAG01,7.781
S4_TAG01_run1,TAG01,0.9179999999999999
S4_TAG01_run1,TAG01,3.0500000000000003
S4_TAG01_run1,TAG01,5.861
S4_TAG01_run1,TAG01,7.792999999999999
S4_TAG01_run1,TAG01,7.324
S4_TAG01_run1,TAG01,5.07
S4_TAG01_run1,TAG01,5.183
S4_TAG01_run1,TAG01,1.957
