session_id,reads_A,reads_B,success_rate_pct
S5_TAG01_run1,3000,1948,64.93333333333334
S5_TAG01_run2,6000,2854,47.56666666666667
S5_TAG01_run3,6000,2032,33.86666666666667
S5_TAG02_run1,4000,2926,73.15
S5_TAG02_run2,6000,3191,53.18333333333334
S5_TAG02_run3,5000,1666,33.32
S5_TAG03_run1,5000,4018,80.36
S5_TAG03_run2,6000,3520,58.666666666666664
S5_TAG03_run3,8000,3159,39.4875
S5_TAG04_run1,3000,2031,67.7
S5_TAG04_run2,4500,2407,53.48888888888889
S5_TAG04_run3,6000,2017,33.61666666666667
S5_TAG05_run1,4000,2679,66.975
S5_TAG05_run2,6000,2840,47.333333333333336
S5_TAG05_run3,5000,979,19.580000000000002
S5_TAG06_run1,4800,3440,71.66666666666667
S5_TAG06_run2,7500,4036,53.81333333333333
S5_TAG06_run3,8000,2742,34.275
S5_TAG07_run1,3000,1851,61.7
S5_TAG07_run2,4000,1608,40.2
S5_TAG07_run3,3500,961,27.45714285714286
S5_TAG08_run1,5000,3801,76.02
S5_TAG08_run2,5400,3046,56.407407407407405
S5_TAG08_run3,6000,2177,36.28333333333333
S5_TAG09_run1,4000,2705,67.625
S5_TAG09_run2,6600,3027,45.86363636363636
S5_TAG09_run3,9000,2950,32.77777777777778
S5_TAG10_run1,3000,1955,65.16666666666666
S5_TAG10_run2,6000,2820,47.0
S5_TAG10_run3,8000,2164,27.05
S5_TAG11_run1,4000,2836,70.89999999999999
S5_TAG11_run2,6000,3032,50.53333333333333
S5_TAG11_run3,7000,2302,32.885714285714286
S5_TAG12_run1,5000,3591,71.82
S5_TAG12_run2,5400,3092,57.25925925925925
S5_TAG12_run3,6000,2420,40.33333333333333
