optimizer,fold,NCC,NIC,ACC,PRC,RCL,F1S,PRC_macro,RCL_macro,F1S_macro,INF_total_sec,INF_per_sample_sec
SGD,1,307,101,0.7524509803921569,0.7560245047871167,0.7524509803921569,0.7447516334469011,0.7556922082272676,0.758627946127946,0.7479357401161911,4.223314119000861,0.010351260095590346
SGD,2,271,137,0.6642156862745098,0.6581223102776848,0.6642156862745098,0.6523386694268187,0.6592775318012509,0.6712962962962964,0.6567066072484957,4.207390603998647,0.010312231872545702
SGD,3,279,129,0.6838235294117647,0.6788539848543484,0.6838235294117647,0.6791892746224317,0.6807964056571877,0.6887626262626263,0.6826825928098966,4.334456426000543,0.010623667710785644
SGD,4,277,131,0.678921568627451,0.6743380117209626,0.678921568627451,0.6673954787502253,0.6758706067356094,0.6862373737373737,0.6720351685824831,4.320110183998622,0.0105885053529378
SGD,5,279,129,0.6838235294117647,0.6819780547980782,0.6838235294117647,0.6808627906874914,0.6839773897919593,0.6883417508417509,0.6841467932440911,4.179728008999518,0.010244431394606663
Adam,1,290,118,0.7107843137254902,0.7063194317974868,0.7107843137254902,0.7056074976477109,0.708531131750946,0.7163299663299663,0.7095423437655937,4.207749014000001,0.010313110328431374
Adam,2,279,129,0.6838235294117647,0.6769660139305443,0.6838235294117647,0.6719213169165671,0.6781693809599311,0.6908670033670034,0.6762687724427404,4.225735231000726,0.01035719419362923
Adam,3,280,128,0.6862745098039216,0.6811554310382418,0.6862745098039216,0.6795818245770266,0.6829235647804959,0.6921296296296298,0.6834968011733237,4.27117467700009,0.010468565384804143
Adam,4,267,141,0.6544117647058824,0.6433526880852733,0.6544117647058824,0.6421156245723809,0.6455322067718401,0.6616161616161617,0.6469698037762902,4.2560732340025424,0.010431552044123878
Adam,5,282,126,0.6911764705882353,0.687607507465709,0.6911764705882353,0.6809588480035209,0.6885391669313958,0.6980218855218855,0.6850874359080376,4.2065269720005745,0.010310115127452389
RMSProp,1,290,118,0.7107843137254902,0.7126898375669911,0.7107843137254902,0.6980310450356898,0.7124552839318431,0.7182239057239057,0.7020501420403514,4.231281504002254,0.010370788000005526
RMSProp,2,273,135,0.6691176470588235,0.6623246070741207,0.6691176470588235,0.6513920566411272,0.6633279744658799,0.6776094276094277,0.6565649463793745,4.204171379999025,0.010304341617644668
RMSProp,3,279,129,0.6838235294117647,0.6852985272069847,0.6838235294117647,0.6837849943453772,0.68783941362652,0.6870791245791246,0.6866677977416159,4.294561049006006,0.01052588492403433
RMSProp,4,281,127,0.6887254901960784,0.6823204228762783,0.6887254901960784,0.6796538918597741,0.6838141471168995,0.6950757575757575,0.6837205387205386,4.218758414994227,0.010340094154397614
RMSProp,5,284,124,0.696078431372549,0.6931949144925043,0.696078431372549,0.687558079486169,0.6944752635308707,0.7026515151515151,0.691665900076659,4.187338405994524,0.010263084328417951
