,NCC,NIC,ACC,PRC,RCL,F1S,PRC_macro,RCL_macro,F1S_macro,INF_total_sec,INF_per_sample_sec
NCC,1.0,-1.0,1.0,0.948067056803769,1.0,0.9652196074783796,0.932944917074372,0.990071896570823,0.9680545868433299,0.49163695962638426,0.49163695962638687
NIC,-1.0,1.0,-1.0,-0.948067056803769,-1.0,-0.9652196074783796,-0.932944917074372,-0.990071896570823,-0.9680545868433299,-0.49163695962638426,-0.49163695962638687
ACC,1.0,-1.0,1.0,0.9480670568037691,1.0,0.9652196074783795,0.932944917074372,0.9900718965708232,0.9680545868433299,0.49163695962638426,0.4916369596263869
PRC,0.948067056803769,-0.948067056803769,0.9480670568037691,1.0,0.9480670568037691,0.9982494126267373,0.9990058170609404,0.8939459615333903,0.9975335188721591,0.1891289123644229,0.18912891236442483
RCL,1.0,-1.0,1.0,0.9480670568037691,1.0,0.9652196074783795,0.932944917074372,0.9900718965708232,0.9680545868433299,0.49163695962638426,0.4916369596263869
F1S,0.9652196074783796,-0.9652196074783796,0.9652196074783795,0.9982494126267373,0.9652196074783795,1.0,0.9946202931283785,0.9188882484185542,0.9999387266989226,0.24687521955221958,0.2468752195522217
PRC_macro,0.932944917074372,-0.932944917074372,0.932944917074372,0.9990058170609404,0.932944917074372,0.9946202931283785,1.0,0.8730775793712274,0.9934126399684455,0.14516543969035903,0.14516543969036075
RCL_macro,0.990071896570823,-0.990071896570823,0.9900718965708232,0.8939459615333903,0.9900718965708232,0.9188882484185542,0.8730775793712274,1.0,0.9231992218746475,0.6091572515575516,0.6091572515575544
F1S_macro,0.9680545868433299,-0.9680545868433299,0.9680545868433299,0.9975335188721591,0.9680545868433299,0.9999387266989226,0.9934126399684455,0.9231992218746475,1.0,0.25758735622796647,0.2575873562279685
INF_total_sec,0.49163695962638426,-0.49163695962638426,0.49163695962638426,0.1891289123644229,0.49163695962638426,0.24687521955221958,0.14516543969035903,0.6091572515575516,0.25758735622796647,1.0,1.0
INF_per_sample_sec,0.49163695962638687,-0.49163695962638687,0.4916369596263869,0.18912891236442483,0.4916369596263869,0.2468752195522217,0.14516543969036075,0.6091572515575544,0.2575873562279685,1.0,1.0
