,NCC,NIC,ACC,PRC_weighted,RCL_weighted,F1S_weighted,PRC_macro,RCL_macro,F1S_macro,INF_total_sec,INF_per_sample_sec
NCC,1.0,-0.9999999999999997,1.0,0.9896440428605008,1.0,0.9984208574540002,0.9860695340587944,0.9990495814147569,0.9987696966412962,-0.4664907371132411,-0.46649073711324135
NIC,-0.9999999999999997,1.0,-1.0,-0.989644042860501,-1.0,-0.9984208574540004,-0.9860695340587947,-0.9990495814147571,-0.9987696966412964,0.4664907371132411,0.4664907371132412
ACC,1.0,-1.0,1.0,0.9896440428605003,1.0,0.998420857454,0.986069534058794,0.9990495814147569,0.9987696966412957,-0.46649073711324074,-0.46649073711324096
PRC_weighted,0.9896440428605008,-0.989644042860501,0.9896440428605003,1.0,0.9896440428605008,0.9950796384787063,0.9995627595430938,0.9841353293976735,0.9946479578173548,-0.48937690666925626,-0.48937690666925643
RCL_weighted,1.0,-1.0,1.0,0.9896440428605008,1.0,0.998420857454,0.986069534058794,0.9990495814147569,0.9987696966412957,-0.46649073711324074,-0.46649073711324096
F1S_weighted,0.9984208574540002,-0.9984208574540004,0.998420857454,0.9950796384787063,0.998420857454,1.0,0.9928995646680511,0.9953307362121481,0.9999438521883325,-0.4680236056798329,-0.4680236056798331
PRC_macro,0.9860695340587944,-0.9860695340587947,0.986069534058794,0.9995627595430938,0.986069534058794,0.9928995646680511,1.0,0.9793894775594552,0.9922949529763859,-0.4827965037226595,-0.48279650372265964
RCL_macro,0.9990495814147569,-0.9990495814147571,0.9990495814147569,0.9841353293976735,0.9990495814147569,0.9953307362121481,0.9793894775594552,1.0,0.9960657122271007,-0.47407578603081546,-0.4740757860308156
F1S_macro,0.9987696966412962,-0.9987696966412964,0.9987696966412957,0.9946479578173548,0.9987696966412957,0.9999438521883325,0.9922949529763859,0.9960657122271007,1.0,-0.46975548485152585,-0.469755484851526
INF_total_sec,-0.4664907371132411,0.4664907371132411,-0.46649073711324074,-0.48937690666925626,-0.46649073711324074,-0.4680236056798329,-0.4827965037226595,-0.47407578603081546,-0.46975548485152585,1.0,1.0
INF_per_sample_sec,-0.46649073711324135,0.4664907371132412,-0.46649073711324096,-0.48937690666925643,-0.46649073711324096,-0.4680236056798331,-0.48279650372265964,-0.4740757860308156,-0.469755484851526,1.0,1.0
