accuracy,macro_precision,macro_recall,macro_f1,optimizer,activation,fold
0.9844056049419919,0.9884865842490008,0.953728813559322,0.9693183434151917,sgd,relu,1
0.9999246590823476,0.999774011299435,0.999943493247443,0.9998587115623181,sgd,relu,2
0.9998493181646952,0.9997175045468781,0.9997175045468781,0.9997175045468781,sgd,relu,3
0.9988698862352143,0.9983016241727043,0.9974575792315656,0.9978785860174537,sgd,relu,4
0.9997739772470429,0.9998305659098611,0.9993220338983052,0.9995759332882218,sgd,relu,5
0.9996986590326955,0.9997740783088895,0.9990960451977401,0.9994344241407428,sgd,leakyrelu,1
0.9928426128230242,0.9802459180288086,0.9946327492067505,0.9871230410448187,sgd,leakyrelu,2
0.9953288631055526,0.9870010615546717,0.9963270993934623,0.9915339032821237,sgd,leakyrelu,3
0.9990205680705191,0.9992670275146595,0.9970621468926554,0.9981576819356114,sgd,leakyrelu,4
0.9992465908234762,0.9992649068976313,0.9979095949423583,0.9985846415993528,sgd,leakyrelu,5
0.8953593491035107,0.8565585225379418,0.6991524753309716,0.6948256148402434,sgd,elu,1
0.9660965870564303,0.9614769268768796,0.9094325847990395,0.9309708047666049,sgd,elu,2
0.9351314699013034,0.8746841128267691,0.9245695382632122,0.8927654810063973,sgd,elu,3
0.9624048820914639,0.9356290819660465,0.9206195821756632,0.9277053088529618,sgd,elu,4
0.9603706773148497,0.9442187017685127,0.902145705055822,0.920013725909178,sgd,elu,5
1.0,1.0,1.0,1.0,adam,relu,1
1.0,1.0,1.0,1.0,adam,relu,2
0.9999246590823476,0.9999435028248588,0.999774011299435,0.9998587163518377,adam,relu,3
1.0,1.0,1.0,1.0,adam,relu,4
1.0,1.0,1.0,1.0,adam,relu,5
0.9999246647581739,0.9999435028248588,0.999774011299435,0.9998587163518377,adam,leakyrelu,1
1.0,1.0,1.0,1.0,adam,leakyrelu,2
0.9998493181646952,0.9998870247980568,0.9997175045468781,0.9998022143871769,adam,leakyrelu,3
1.0,1.0,1.0,1.0,adam,leakyrelu,4
1.0,1.0,1.0,1.0,adam,leakyrelu,5
0.9998493295163478,0.9998870247980568,0.9995480225988701,0.9997173608076718,adam,elu,1
1.0,1.0,1.0,1.0,adam,elu,2
0.9998493181646952,0.9997175045468781,0.9997175045468781,0.9997175045468781,adam,elu,3
0.9999246590823476,0.9997741644083108,0.999943493247443,0.999858788168666,adam,elu,4
0.9996986363293905,0.999774126150545,0.9990960451977401,0.9994344337141011,adam,elu,5
1.0,1.0,1.0,1.0,rmsprop,relu,1
1.0,1.0,1.0,1.0,rmsprop,relu,2
0.9783018157161154,0.9457174502089076,0.983556573315596,0.9620602392579727,rmsprop,relu,3
1.0,1.0,1.0,1.0,rmsprop,relu,4
1.0,1.0,1.0,1.0,rmsprop,relu,5
1.0,1.0,1.0,1.0,rmsprop,leakyrelu,1
1.0,1.0,1.0,1.0,rmsprop,leakyrelu,2
0.9999246590823476,0.9999435028248588,0.999774011299435,0.9998587163518377,rmsprop,leakyrelu,3
0.9970617042115573,0.9920478568348715,0.9977962366502796,0.9948730575688977,rmsprop,leakyrelu,4
1.0,1.0,1.0,1.0,rmsprop,leakyrelu,5
1.0,1.0,1.0,1.0,rmsprop,elu,1
1.0,1.0,1.0,1.0,rmsprop,elu,2
0.9999246590823476,0.9999435028248588,0.999774011299435,0.9998587163518377,rmsprop,elu,3
1.0,1.0,1.0,1.0,rmsprop,elu,4
1.0,1.0,1.0,1.0,rmsprop,elu,5
